Player,Offense,Defense(*),Total
DeAndre' Bembry,-1.4 (50),-1.0 (85),-0.4 (69)
Dennis Schr?der,-1.2 (54),-0.8 (82),-0.4 (69)
Jaden McDaniels,-1.4 (49),-1.0 (85),-0.4 (69)
Bojan Bogdanovi?,1.0 (89),1.4 (30),-0.4 (68)
Josh Green,-1.5 (47),-1.1 (86),-0.4 (68)
Taj Gibson,-1.4 (48),-1.0 (84),-0.4 (68)
Victor Oladipo,-1.2 (52),-0.8 (81),-0.4 (68)
Tim Hardaway Jr.,-0.6 (64),-0.2 (71),-0.4 (68)
Patty Mills,0.0 (75),0.4 (58),-0.4 (68)
Donte DiVincenzo,-0.0 (73),0.4 (55),-0.4 (67)
Isaiah Stewart,-1.6 (46),-1.2 (88),-0.4 (67)
Jordan McLaughlin,-1.1 (55),-0.7 (80),-0.4 (67)
Jae'Sean Tate,-0.7 (62),-0.2 (72),-0.5 (67)
Malik Beasley,0.2 (78),0.7 (49),-0.5 (67)
Furkan Korkmaz,-0.7 (61),-0.2 (71),-0.5 (67)
Grant Williams,-0.1 (72),0.4 (57),-0.5 (66)
JaVale McGee,-1.3 (51),-0.8 (82),-0.5 (66)
Jeff Green,-0.3 (69),0.2 (62),-0.5 (66)
Tyrese Haliburton,1.4 (92),1.9 (9),-0.5 (66)
Goga Bitadze,0.1 (75),0.6 (50),-0.5 (66)
Jaylen Nowell,0.6 (84),1.1 (38),-0.5 (66)
Frank Ntilikina,-1.7 (42),-1.1 (86),-0.6 (65)
Damion Lee,-0.6 (65),0.0 (67),-0.6 (65)
Ziaire Williams,-0.7 (62),-0.1 (69),-0.6 (65)
Grayson Allen,-0.4 (68),0.2 (63),-0.6 (65)
Georges Niang,0.3 (79),0.9 (45),-0.6 (65)
Dewayne Dedmon,-0.9 (58),-0.3 (72),-0.6 (65)
Justise Winslow,-2.0 (36),-1.4 (89),-0.6 (64)
Garrison Mathews,1.0 (88),1.6 (23),-0.6 (64)
Pat Connaughton,-0.1 (73),0.6 (52),-0.7 (64)
Kentavious Caldwell-Pope,0.0 (74),0.7 (49),-0.7 (64)
Trent Forrest,-0.3 (68),0.4 (55),-0.7 (64)
Russell Westbrook,-0.8 (60),-0.1 (70),-0.7 (64)
Saddiq Bey,0.1 (76),0.8 (48),-0.7 (63)
Danilo Gallinari,0.4 (80),1.1 (37),-0.7 (63)
De'Andre Hunter,-1.2 (53),-0.4 (75),-0.8 (63)
Caris LeVert,0.9 (87),1.7 (18),-0.8 (63)
Nemanja Bjelica,-0.9 (59),-0.1 (70),-0.8 (63)
Cory Joseph,-0.9 (59),-0.1 (69),-0.8 (63)
De'Aaron Fox,1.2 (90),2.0 (8),-0.8 (62)
Klay Thompson,-0.0 (73),0.8 (46),-0.8 (62)
Hamidou Diallo,-1.2 (54),-0.3 (73),-0.9 (62)
Goran Dragic,-0.6 (65),0.3 (61),-0.9 (62)
Daniel Gafford,0.1 (76),1.0 (42),-0.9 (62)
Mo Bamba,-0.9 (58),-0.0 (66),-0.9 (62)
Derrick Favors,-1.8 (40),-0.9 (83),-0.9 (61)
Denzel Valentine,-1.3 (50),-0.4 (74),-0.9 (61)
Robin Lopez,-1.4 (49),-0.4 (75),-1.0 (61)
LaMarcus Aldridge,-1.1 (56),-0.1 (70),-1.0 (61)
Troy Brown Jr.,0.0 (75),1.0 (42),-1.0 (61)
Raul Neto,-0.8 (60),0.2 (63),-1.0 (61)
Daniel Theis,-2.0 (37),-1.0 (85),-1.0 (60)
Moritz Wagner,-0.0 (73),1.0 (41),-1.0 (60)
Tre Jones,-0.6 (64),0.4 (56),-1.0 (60)
Anfernee Simons,1.4 (91),2.4 (3),-1.0 (60)
Corey Kispert,0.8 (86),1.8 (14),-1.0 (60)
Ty Jerome,-1.5 (47),-0.5 (77),-1.0 (60)
Marvin Bagley III,-0.5 (66),0.5 (53),-1.0 (60)
Sekou Doumbouya,-0.2 (69),0.8 (47),-1.0 (59)
Paul Millsap,-1.2 (54),-0.1 (70),-1.1 (59)
Keita Bates-Diop,-1.4 (49),-0.3 (73),-1.1 (59)
Coby White,0.1 (75),1.2 (34),-1.1 (59)
Jeremy Lamb,-0.2 (71),0.9 (45),-1.1 (59)
Khem Birch,-0.7 (62),0.4 (57),-1.1 (59)
Tobias Harris,-0.1 (72),1.0 (41),-1.1 (58)
Jalen Smith,-0.6 (63),0.5 (53),-1.1 (58)
Cade Cunningham,-0.5 (66),0.6 (50),-1.1 (58)
Markelle Fultz,-0.8 (59),0.3 (58),-1.1 (58)
Isaiah Joe,-1.2 (53),-0.0 (66),-1.2 (58)
Jalen Suggs,-2.5 (27),-1.3 (88),-1.2 (58)
Devin Vassell,-0.9 (58),0.3 (60),-1.2 (57)
Kelan Martin,-1.7 (42),-0.5 (76),-1.2 (57)
