Player,Offense,Defense(*),Total
Meyers Leonard,-1.0 (55),0.3 (56),-1.3 (53)
Monta Ellis,-0.9 (57),0.4 (54),-1.3 (53)
Tim Frazier,-0.4 (67),0.9 (36),-1.3 (53)
Jameer Nelson,-0.4 (67),0.9 (36),-1.3 (53)
Ty Lawson,-0.5 (65),0.8 (40),-1.3 (53)
Ben McLemore,-1.3 (46),-0.0 (62),-1.3 (52)
Sam Dekker,-0.5 (65),0.8 (39),-1.3 (52)
Malcolm Delaney,-2.1 (25),-0.8 (81),-1.3 (52)
Jordan Hill,-1.1 (51),0.2 (57),-1.3 (52)
Reggie Bullock Jr.,-1.1 (51),0.2 (56),-1.3 (52)
Derrick Rose,0.3 (79),1.7 (15),-1.4 (51)
Glenn Robinson III,-1.4 (44),-0.0 (63),-1.4 (51)
Richaun Holmes,0.1 (76),1.5 (22),-1.4 (51)
T.J. Warren,0.4 (80),1.8 (12),-1.4 (51)
Jose Calderon,-1.0 (54),0.4 (52),-1.4 (51)
Derrick Jones Jr.,-1.4 (42),-0.0 (62),-1.4 (50)
KJ McDaniels,-1.3 (45),0.1 (60),-1.4 (50)
Domantas Sabonis,-2.8 (15),-1.3 (89),-1.5 (50)
Richard Jefferson,-1.4 (44),0.1 (61),-1.5 (50)
Shaun Livingston,-1.0 (55),0.5 (51),-1.5 (50)
Rodney Stuckey,-1.1 (53),0.4 (54),-1.5 (49)
Cole Aldrich,-1.9 (30),-0.4 (72),-1.5 (49)
E'Twaun Moore,-0.8 (58),0.7 (44),-1.5 (49)
Arron Afflalo,-0.3 (69),1.2 (27),-1.5 (49)
Marreese Speights,-0.5 (65),1.0 (32),-1.5 (48)
Dorian Finney-Smith,-1.6 (37),-0.1 (65),-1.5 (48)
Paul Pierce,-1.8 (32),-0.3 (70),-1.5 (48)
Alec Burks,-0.7 (59),0.8 (38),-1.5 (48)
Tomas Satoransky,-2.2 (23),-0.7 (79),-1.5 (48)
J.J. Barea,0.8 (85),2.4 (4),-1.6 (47)
Timofey Mozgov,-2.8 (15),-1.2 (88),-1.6 (47)
Corey Brewer,-1.9 (29),-0.3 (71),-1.6 (47)
Mike Scott,-1.9 (28),-0.3 (70),-1.6 (47)
Tiago Splitter,-1.7 (34),-0.1 (65),-1.6 (47)
Shelvin Mack,-0.8 (59),0.8 (41),-1.6 (46)
Dwight Powell,-1.2 (50),0.4 (54),-1.6 (46)
Hollis Thompson,-0.5 (66),1.1 (30),-1.6 (46)
Austin Rivers,-0.6 (62),1.0 (33),-1.6 (46)
Alan Williams,-1.3 (45),0.3 (55),-1.6 (46)
Tony Parker,0.0 (75),1.7 (15),-1.7 (45)
D'Angelo Russell,-0.2 (72),1.5 (22),-1.7 (45)
Anthony Brown,-1.8 (32),-0.1 (65),-1.7 (45)
Mindaugas Kuzminskas,-1.3 (47),0.4 (54),-1.7 (45)
Jamal Murray,-0.8 (58),0.9 (36),-1.7 (45)
Dante Cunningham,-0.6 (63),1.1 (30),-1.7 (44)
Kent Bazemore,-1.6 (38),0.1 (59),-1.7 (44)
Evan Turner,-2.3 (23),-0.5 (76),-1.8 (44)
Terry Rozier,-2.3 (23),-0.5 (75),-1.8 (44)
Isaiah Whitehead,-1.9 (30),-0.1 (67),-1.8 (44)
Mike Muscala,-1.4 (43),0.4 (52),-1.8 (43)
Willy Hernangomez,-1.3 (48),0.5 (51),-1.8 (43)
Davis Bertans,-1.7 (36),0.1 (61),-1.8 (43)
Kyle Singler,-1.8 (33),0.0 (63),-1.8 (43)
Michael Carter-Williams,-2.1 (25),-0.3 (71),-1.8 (43)
Shabazz Napier,-0.7 (60),1.1 (29),-1.8 (42)
Toney Douglas,-0.2 (72),1.6 (16),-1.8 (42)
Alexis Ajinca,-2.3 (22),-0.4 (72),-1.9 (42)
Gerald Henderson,-1.3 (46),0.6 (46),-1.9 (42)
Luis Scola,-1.1 (53),0.8 (40),-1.9 (41)
Paul Zipser,-1.8 (33),0.1 (59),-1.9 (41)
Boris Diaw,-1.9 (31),0.1 (61),-2.0 (41)
Allen Crabbe,-0.3 (71),1.7 (15),-2.0 (41)
Ed Davis,-1.1 (53),0.9 (37),-2.0 (41)
Tyler Zeller,-1.7 (36),0.3 (55),-2.0 (40)
Roy Hibbert,-2.2 (24),-0.2 (69),-2.0 (40)
C.J. Watson,-1.3 (45),0.7 (43),-2.0 (40)
Nick Collison,-2.6 (17),-0.6 (76),-2.0 (40)
Ryan Kelly,-1.8 (32),0.2 (57),-2.0 (40)
Kosta Koufos,-2.3 (22),-0.2 (68),-2.1 (39)
Kelly Oubre Jr.,-1.4 (43),0.7 (43),-2.1 (39)
Jarell Martin,-2.3 (22),-0.2 (68),-2.1 (39)
Ramon Sessions,-1.2 (49),0.9 (37),-2.1 (39)
Troy Daniels,-0.8 (58),1.3 (25),-2.1 (39)
Denzel Valentine,-2.1 (25),0.0 (62),-2.1 (38)
Yogi Ferrell,-1.2 (48),0.9 (34),-2.1 (38)
Jarrett Jack,-1.6 (37),0.5 (48),-2.1 (38)
Kyle O'Quinn,-1.9 (31),0.3 (56),-2.2 (38)
Trey Lyles,-1.9 (31),0.3 (56),-2.2 (38)
DeAndre Liggins,-2.2 (24),-0.0 (64),-2.2 (37)
Gerald Green,-1.1 (53),1.1 (31),-2.2 (37)
Stanley Johnson,-2.1 (26),0.1 (60),-2.2 (37)
John Henson,-2.6 (19),-0.4 (73),-2.2 (37)
Kris Dunn,-1.8 (34),0.4 (53),-2.2 (37)
Sergio Rodriguez,-1.1 (53),1.1 (30),-2.2 (36)
Willie Cauley-Stein,-1.1 (52),1.1 (30),-2.2 (36)
Brandon Bass,-1.1 (52),1.1 (29),-2.2 (36)
Norris Cole,-0.9 (56),1.3 (24),-2.2 (36)
Dant¨¦ Exum,-1.7 (37),0.6 (48),-2.3 (36)
Jakob Poeltl,-2.5 (20),-0.2 (69),-2.3 (35)
Alex Abrines,-0.9 (56),1.4 (24),-2.3 (35)
Tyler Ennis,-1.6 (38),0.7 (43),-2.3 (35)
Jason Smith,-1.5 (41),0.8 (39),-2.3 (35)
Darrun Hilliard,-1.9 (29),0.4 (52),-2.3 (34)
Okaro White,-1.8 (32),0.5 (49),-2.3 (34)
Spencer Hawes,-2.1 (26),0.2 (58),-2.3 (34)
Zach LaVine,0.3 (79),2.6 (1),-2.3 (34)
Dario ?ari?,-1.8 (34),0.6 (46),-2.4 (34)
Marcelo Huertas,-1.8 (33),0.6 (46),-2.4 (33)
Josh McRoberts,-1.4 (42),1.0 (31),-2.4 (33)
Jerryd Bayless,-1.0 (54),1.4 (23),-2.4 (33)
Bobby Portis,-1.1 (52),1.3 (25),-2.4 (33)
Alonzo Gee,-2.2 (23),0.2 (57),-2.4 (33)
Jodie Meeks,-0.8 (57),1.6 (16),-2.4 (32)
Ron Baker,-1.9 (31),0.6 (48),-2.5 (32)
Al Jefferson,-2.0 (28),0.5 (50),-2.5 (32)
Marco Belinelli,-0.7 (61),1.8 (12),-2.5 (32)
Nik Stauskas,-1.0 (54),1.5 (22),-2.5 (32)
Jamal Crawford,-0.6 (62),1.9 (9),-2.5 (31)
Cameron Payne,-1.7 (35),0.8 (38),-2.5 (31)
Lamar Patterson,-1.9 (28),0.6 (45),-2.5 (31)
David Nwaba,-2.6 (17),-0.1 (65),-2.5 (31)
Jeff Green,-1.9 (30),0.7 (44),-2.6 (31)
Raymond Felton,-1.6 (37),1.0 (32),-2.6 (30)
Bismack Biyombo,-3.2 (8),-0.6 (77),-2.6 (30)
Fred VanVleet,-2.9 (12),-0.3 (70),-2.6 (30)
Jordan Clarkson,-0.3 (69),2.4 (3),-2.7 (30)
