team,year,TQ,win_pct,TQ_Z_score,Normalized_TQ_Z_score
Denver Nuggets,2022,4.082112305586837,0.5853658536585366,2.666350760541541,0.9999186340205433
Atlanta Hawks,2022,3.5582859715987323,0.524390243902439,2.27294354104303,0.9993464756014057
Brooklyn Nets,2022,2.461126313218187,0.5365853658536586,1.4489480628790234,0.9797749067140276
Golden State Warriors,2022,1.755324090046,0.6463414634146342,0.9188722111744331,0.9031106382466592
Dallas Mavericks,2022,1.640975283722371,0.6341463414634146,0.8329932794944265,0.8806077551374621
Minnesota Timberwolves,2022,1.601225518937309,0.5609756097560976,0.8031401708873167,0.8719823149582342
Los Angeles Lakers,2022,1.1916024623893802,0.4024390243902439,0.49550258708714523,0.758269377823741
Phoenix Suns,2022,1.1297279648293892,0.7804878048780488,0.44903322794359324,0.7372952104821276
Washington Wizards,2022,1.0546674974752623,0.4268292682926829,0.39266086206571355,0.7106574204504675
Memphis Grizzlies,2022,0.9658642893144718,0.6829268292682927,0.3259673399224044,0.6775961893411
New Orleans Pelicans,2022,0.812314767219334,0.4390243902439024,0.2106476497440463,0.6171105472632841
Charlotte Hornets,2022,0.7980293426762701,0.524390243902439,0.19991892385877955,0.6113073451601384
San Antonio Spurs,2022,0.582716651702945,0.4146341463414634,0.038213485276377905,0.5215491606329279
Philadelphia 76ers,2022,0.5247218255897352,0.6219512195121951,-0.005342139567438367,0.49698604917338707
Houston Rockets,2022,0.4868945525061319,0.2439024390243902,-0.03375140683686359,0.48096503604727187
Portland Trail Blazers,2022,0.4233738447060955,0.3292682926829268,-0.08145711274503045,0.454144189597541
Boston Celtics,2022,0.4084372011255071,0.6219512195121951,-0.09267492108800128,0.4478630791709857
Toronto Raptors,2022,0.1509075786530869,0.5853658536585366,-0.28608637473530274,0.3428904729743628
New York Knicks,2022,0.085447774360192,0.4512195121951219,-0.3352483926119551,0.31770972726377844
Oklahoma City Thunder,2022,0.0758382593337154,0.2926829268292683,-0.34246538866962406,0.3140796768766668
Milwaukee Bucks,2022,-0.0230079303390464,0.6219512195121951,-0.41670145149052595,0.2778283979417594
Sacramento Kings,2022,-0.2474309757580124,0.3658536585365853,-0.5852490035341169,0.20392953427880217
Indiana Pacers,2022,-0.3564039598040711,0.3048780487804878,-0.6670905526743118,0.1727359967917267
Cleveland Cavaliers,2022,-0.4571603277306306,0.5365853658536586,-0.7427612091130102,0.14676184344689291
Detroit Pistons,2022,-0.6463266234806031,0.2804878048780488,-0.8848300239189487,0.10540548042270087
Miami Heat,2022,-0.7849711429155404,0.6463414634146342,-0.988955668909612,0.08096730536242208
Chicago Bulls,2022,-0.8831310023462029,0.5609756097560976,-1.0626762798437286,0.06643870879374092
Orlando Magic,2022,-1.3080077994244803,0.2682926829268293,-1.3817698200546986,0.025343654405139193
Los Angeles Clippers,2022,-1.3482099138926649,0.5121951219512195,-1.4119626550549498,0.022922547400435034
Utah Jazz,2022,-1.7798954040153667,0.5975609756097561,-1.7361697010697095,0.007038064329165705
Denver Nuggets,2023,3.870266288616538,0.6463414634146342,2.3398444709569284,0.9995319173337133
Dallas Mavericks,2023,3.5077379872816805,0.4634146341463415,2.082240671902291,0.9983838326581217
Portland Trail Blazers,2023,2.494653868074569,0.4024390243902439,1.3623677215457377,0.9729901710390801
Atlanta Hawks,2023,2.208370276079787,0.5,1.1589415596893562,0.9493924196019718
Phoenix Suns,2023,2.192657495312304,0.5487804878048781,1.1477764396021455,0.9477267787172263
Oklahoma City Thunder,2023,1.8150593229097127,0.4878048780487805,0.8794643564659124,0.8932042835954455
Sacramento Kings,2023,1.7982635523161417,0.5853658536585366,0.8675296901322138,0.8900646956837028
Los Angeles Clippers,2023,1.421710279657595,0.5365853658536586,0.5999600873560136,0.8019123345643269
Golden State Warriors,2023,1.0237929359358744,0.5365853658536586,0.3172096949728152,0.67314069579039
Cleveland Cavaliers,2023,1.0089768794272858,0.6219512195121951,0.30668176534754915,0.6677517532865831
Milwaukee Bucks,2023,0.8111682734952925,0.7073170731707317,0.16612377805067244,0.5928702141198555
Philadelphia 76ers,2023,0.7853694350668965,0.6585365853658537,0.1477917505485962,0.5827794318655322
Boston Celtics,2023,0.6096847858562242,0.6951219512195121,0.02295450913706884,0.5129484206954065
San Antonio Spurs,2023,0.512013145854676,0.2682926829268293,-0.04644858417082597,0.47381302653812896
Washington Wizards,2023,0.4525566525560915,0.4268292682926829,-0.08869692311646546,0.45008903964036007
Utah Jazz,2023,0.4232096886142413,0.4512195121951219,-0.10955016236510888,0.4384393055992617
Toronto Raptors,2023,0.4194645019497423,0.5,-0.11221140097569829,0.43695620990115086
Detroit Pistons,2023,0.2009271977686031,0.2073170731707317,-0.2674986974017538,0.3526037665734349
Memphis Grizzlies,2023,0.1686021769942316,0.6219512195121951,-0.29046807144879333,0.3406155049602086
Indiana Pacers,2023,0.1590508621507971,0.4268292682926829,-0.29725500361540236,0.3371031866688738
Los Angeles Lakers,2023,0.0941686067236737,0.524390243902439,-0.3433587572471007,0.313631563822834
Houston Rockets,2023,0.0245716643206983,0.2682926829268293,-0.3928126528452633,0.2892691815986992
Brooklyn Nets,2023,-0.3450549867726868,0.5487804878048781,-0.6554603667007106,0.17697340735670603
New York Knicks,2023,-0.565717506481842,0.573170731707317,-0.8122577896239556,0.12533861913345468
Orlando Magic,2023,-0.8792865980127655,0.4146341463414634,-1.035072364229722,0.07162247340920141
New Orleans Pelicans,2023,-1.1003480734584534,0.5121951219512195,-1.1921532754020416,0.045901816484216484
Minnesota Timberwolves,2023,-1.1929626395744095,0.5121951219512195,-1.2579629349277137,0.03761756581683817
Charlotte Hornets,2023,-1.2003566208798837,0.3292682926829268,-1.2632169183199502,0.03701252560976115
Miami Heat,2023,-1.6976571388009851,0.5365853658536586,-1.616586578610241,0.01112131944289807
Chicago Bulls,2023,-1.69947177460757,0.4878048780487805,-1.6178760147065556,0.011068114098839454
Dallas Mavericks,2024,3.904024943876953,0.6097560975609756,2.049016548033668,0.9981207316986014
Denver Nuggets,2024,3.533892991293021,0.6951219512195121,1.832181439152893,0.9952164578174458
Indiana Pacers,2024,3.310108433867881,0.573170731707317,1.701081304359443,0.9919290718947487
Utah Jazz,2024,2.228981684568565,0.3780487804878049,1.0677227554374167,0.9344767571051723
