Team,year,win_pct,win_pct(last_year),Player Expenses(M$),Revenue(M$)
IND,2021,0.4722222222222222,0.6164383561643836,113,179
IND,2022,0.3048780487804878,0.4722222222222222,127,264
IND,2023,0.4268292682926829,0.3048780487804878,127,263
IND,2024,0.573170731707317,0.4268292682926829,149,320
LAC,2016,0.6463414634146342,0.6829268292682927,116,185
LAC,2017,0.6219512195121951,0.6463414634146342,137,257
LAC,2018,0.5121951219512195,0.6219512195121951,135,258
LAC,2019,0.5853658536585366,0.5121951219512195,128,282
LAC,2020,0.6805555555555556,0.5853658536585366,122,262
LAC,2021,0.6527777777777778,0.6805555555555556,124,219
LAC,2022,0.5121951219512195,0.6527777777777778,169,362
LAC,2023,0.5365853658536586,0.5121951219512195,198,425
LAC,2024,0.6219512195121951,0.5365853658536586,208,353
LAL,2016,0.2073170731707317,0.2560975609756097,84,333
LAL,2017,0.3170731707317073,0.2073170731707317,108,371
LAL,2018,0.4268292682926829,0.3170731707317073,112,395
LAL,2019,0.4512195121951219,0.4268292682926829,120,434
LAL,2020,0.7323943661971831,0.4512195121951219,114,400
LAL,2021,0.5833333333333334,0.7323943661971831,123,316
LAL,2022,0.4024390243902439,0.5833333333333334,163,465
LAL,2023,0.524390243902439,0.4024390243902439,177,516
LAL,2024,0.573170731707317,0.524390243902439,175,522
MEM,2016,0.5121951219512195,0.6707317073170732,93,156
MEM,2017,0.524390243902439,0.5121951219512195,125,206
MEM,2018,0.2682926829268293,0.524390243902439,121,213
MEM,2019,0.4024390243902439,0.2682926829268293,136,224
MEM,2020,0.4657534246575342,0.4024390243902439,118,210
MEM,2021,0.5277777777777778,0.4657534246575342,106,186
MEM,2022,0.6829268292682927,0.5277777777777778,93,272
MEM,2023,0.6219512195121951,0.6829268292682927,132,258
MEM,2024,0.3292682926829268,0.6219512195121951,169,291
MIA,2016,0.5853658536585366,0.4512195121951219,104,210
MIA,2017,0.5,0.5853658536585366,104,253
MIA,2018,0.5365853658536586,0.5,131,259
MIA,2019,0.4756097560975609,0.5365853658536586,144,294
MIA,2020,0.6027397260273972,0.4756097560975609,126,266
MIA,2021,0.5555555555555556,0.6027397260273972,112,218
MIA,2022,0.6463414634146342,0.5555555555555556,138,326
MIA,2023,0.5365853658536586,0.6463414634146342,161,371
MIA,2024,0.5609756097560976,0.5365853658536586,185,373
MIL,2016,0.4024390243902439,0.5,80,146
MIL,2017,0.5121951219512195,0.4024390243902439,109,179
MIL,2018,0.5365853658536586,0.5121951219512195,127,204
MIL,2019,0.7317073170731707,0.5365853658536586,126,283
MIL,2020,0.7671232876712328,0.7317073170731707,125,239
MIL,2021,0.6388888888888888,0.7671232876712328,121,212
MIL,2022,0.6219512195121951,0.6388888888888888,151,352
MIL,2023,0.7073170731707317,0.6219512195121951,188,329
MIL,2024,0.5975609756097561,0.7073170731707317,194,333
MIN,2016,0.3536585365853658,0.1951219512195122,83,154
MIN,2017,0.3780487804878049,0.3536585365853658,96,204
MIN,2018,0.573170731707317,0.3780487804878049,120,223
MIN,2019,0.4390243902439024,0.573170731707317,132,234
MIN,2020,0.296875,0.4390243902439024,126,214
MIN,2021,0.3194444444444444,0.296875,107,199
MIN,2022,0.5609756097560976,0.3194444444444444,134,271
MIN,2023,0.5121951219512195,0.5609756097560976,155,259
