Player,Team,Offense,Defense,Total,Offense_value,Offense_percentile,Defense(*)_value,Defense(*)_percentile,Total_value,Total_percentile,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,STL,BLK,TOV,PTS,PLUS_MINUS,USG_PCT,TS_PCT,EFG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,PIE,ATTENDANCE_RATE,MPG
Desmond Bane,ORL,0.9 (87),0.1 (50),0.8 (80),0.9,87,0.1,50,0.8,80,1630217.0,Desmond Bane,ORL,27.0,69.0,2205.225,493.0,1018.0,0.484,164.0,418.0,0.392,177.0,198.0,0.894,418.0,369.0,80.0,28.0,169.0,1327.0,143.0,0.227,0.6,0.565,116.1,113.3,2.8,0.235,0.088,0.131,84.15,32.0
Toumani Camara,POR,-0.2 (65),-1.0 (88),0.8 (80),-0.2,65,-1.0,88,0.8,80,1641739.0,Toumani Camara,POR,25.0,78.0,2548.0516666666667,328.0,716.0,0.458,135.0,360.0,0.375,91.0,126.0,0.722,450.0,175.0,116.0,50.0,109.0,882.0,-114.0,0.143,0.572,0.552,111.5,113.3,-1.8,0.096,0.086,0.076,95.12,32.7
Tobias Harris,DET,-0.3 (61),-1.1 (91),0.8 (80),-0.3,61,-1.1,91,0.8,80,202699.0,Tobias Harris,DET,32.0,73.0,2305.4133333333334,384.0,805.0,0.477,91.0,264.0,0.345,143.0,166.0,0.861,432.0,162.0,74.0,57.0,85.0,1002.0,187.0,0.173,0.571,0.534,114.7,110.8,3.9,0.095,0.092,0.1,89.02,31.6
Jaylen Brown,BOS,1.6 (93),0.8 (17),0.8 (80),1.6,93,0.8,17,0.8,80,1627759.0,Jaylen Brown,BOS,28.0,63.0,2157.9283333333333,518.0,1118.0,0.463,116.0,358.0,0.324,246.0,322.0,0.764,368.0,286.0,73.0,19.0,162.0,1398.0,402.0,0.282,0.555,0.515,121.1,111.7,9.5,0.204,0.082,0.114,76.83,34.3
Jabari Smith Jr.,HOU,0.2 (75),-0.6 (80),0.8 (80),0.2,75,-0.6,80,0.8,80,1631095.0,Jabari Smith Jr.,HOU,22.0,57.0,1715.5783333333334,248.0,566.0,0.438,98.0,277.0,0.354,104.0,126.0,0.825,399.0,60.0,25.0,41.0,61.0,698.0,250.0,0.16,0.562,0.525,113.4,106.1,7.3,0.048,0.107,0.093,69.51,30.1
James Harden,LAC,1.6 (93),0.8 (16),0.8 (79),1.6,93,0.8,16,0.8,79,201935.0,James Harden,LAC,35.0,79.0,2789.036666666667,531.0,1295.0,0.41,235.0,668.0,0.352,505.0,578.0,0.874,456.0,687.0,118.0,55.0,341.0,1802.0,344.0,0.286,0.582,0.501,115.4,109.2,6.2,0.365,0.083,0.145,96.34,35.3
Anthony Davis,DAL,-0.2 (65),-1.0 (88),0.8 (79),-0.2,65,-1.0,88,0.8,79,203076.0,Anthony Davis,DAL,32.0,51.0,1705.4883333333332,470.0,910.0,0.516,35.0,124.0,0.282,286.0,369.0,0.775,590.0,181.0,59.0,110.0,113.0,1261.0,25.0,0.301,0.588,0.536,113.3,112.9,0.5,0.182,0.173,0.179,62.2,33.4
Jordan McLaughlin,SAS,0.2 (73),-0.6 (79),0.8 (79),0.2,73,-0.6,79,0.8,79,1629162.0,Jordan McLaughlin,SAS,29.0,46.0,314.27666666666664,31.0,72.0,0.431,19.0,46.0,0.413,17.0,22.0,0.773,30.0,51.0,16.0,1.0,16.0,98.0,57.0,0.134,0.6,0.563,118.0,108.9,9.1,0.208,0.05,0.083,56.1,6.8
Daishen Nix,MIN,0.6 (82),-0.2 (64),0.8 (79),0.6,82,-0.2,64,0.8,79,1630227.0,Daishen Nix,MIN,23.0,3.0,13.233333333333333,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.5,4.0,3.0,0.0,0.0,4.0,1.0,9.0,0.176,0.266,0.0,103.2,79.3,23.9,0.231,0.211,0.024,3.66,4.4
Donovan Clingan,POR,0.0 (69),-0.8 (83),0.8 (79),0.0,69,-0.8,83,0.8,79,1642270.0,Donovan Clingan,POR,21.0,67.0,1323.6433333333334,180.0,334.0,0.539,14.0,49.0,0.286,62.0,104.0,0.596,527.0,77.0,34.0,110.0,72.0,436.0,-2.0,0.135,0.574,0.56,109.9,109.7,0.2,0.081,0.179,0.105,81.71,19.8
Harrison Ingram,SAS,0.6 (82),-0.2 (63),0.8 (79),0.6,82,-0.2,63,0.8,79,1631127.0,Harrison Ingram,SAS,22.0,5.0,34.75,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,9.0,3.0,3.0,0.0,1.0,4.0,30.0,0.06,0.5,0.5,132.0,92.0,40.0,0.086,0.129,0.08,6.1,7.0
Day'Ron Sharpe,BKN,-0.6 (48),-1.4 (95),0.8 (78),-0.6,48,-1.4,95,0.8,78,1630549.0,Day'Ron Sharpe,BKN,23.0,50.0,907.4583333333334,165.0,317.0,0.521,11.0,45.0,0.244,56.0,74.0,0.757,330.0,91.0,41.0,42.0,63.0,397.0,64.0,0.186,0.568,0.538,109.2,107.1,2.1,0.158,0.174,0.134,60.98,18.1
Isaac Okoro,CHI,0.7 (85),0.0 (57),0.7 (78),0.7,85,0.0,57,0.7,78,1630171.0,Isaac Okoro,CLE,24.0,55.0,1053.2033333333334,124.0,267.0,0.464,56.0,151.0,0.371,33.0,46.0,0.717,130.0,68.0,32.0,16.0,23.0,337.0,253.0,0.124,0.587,0.569,122.1,109.7,12.5,0.078,0.06,0.057,67.07,19.1
Jalen Duren,DET,1.2 (90),0.5 (28),0.7 (78),1.2,90,0.5,28,0.7,78,1631105.0,Jalen Duren,DET,21.0,78.0,2033.5483333333334,378.0,546.0,0.692,0.0,0.0,0.0,162.0,242.0,0.669,807.0,209.0,54.0,89.0,136.0,918.0,36.0,0.161,0.703,0.692,115.5,114.0,1.5,0.141,0.199,0.14,95.12,26.1
Zion Williamson,NOP,1.0 (88),0.3 (39),0.7 (78),1.0,88,0.3,39,0.7,78,1629627.0,Zion Williamson,NOP,24.0,30.0,857.2766666666666,288.0,508.0,0.567,3.0,13.0,0.231,158.0,241.0,0.656,216.0,159.0,37.0,27.0,90.0,737.0,-42.0,0.325,0.6,0.57,113.7,115.5,-1.8,0.325,0.116,0.167,36.59,28.6
Ja Morant,MEM,-0.2 (64),-0.9 (85),0.7 (78),-0.2,64,-0.9,85,0.7,78,1629630.0,Ja Morant,MEM,25.0,50.0,1519.11,404.0,889.0,0.454,88.0,285.0,0.309,263.0,319.0,0.824,205.0,364.0,61.0,12.0,185.0,1159.0,226.0,0.312,0.563,0.504,116.4,109.6,6.8,0.355,0.062,0.141,60.98,30.4
Aaron Nesmith,IND,0.8 (86),0.2 (45),0.6 (78),0.8,86,0.2,45,0.6,78,1630174.0,Aaron Nesmith,IND,25.0,45.0,1121.6183333333333,192.0,379.0,0.507,84.0,195.0,0.431,73.0,80.0,0.913,178.0,54.0,35.0,17.0,37.0,541.0,198.0,0.171,0.653,0.617,120.1,111.5,8.5,0.063,0.078,0.087,54.88,24.9
Malik Beasley,DET,-0.2 (65),-0.8 (84),0.6 (78),-0.2,65,-0.8,84,0.6,78,1627736.0,Malik Beasley,DET,28.0,82.0,2282.9466666666667,461.0,1071.0,0.43,319.0,766.0,0.416,95.0,140.0,0.679,214.0,139.0,73.0,5.0,83.0,1336.0,175.0,0.215,0.59,0.579,113.3,110.2,3.1,0.089,0.045,0.091,100.0,27.8
Bam Adebayo,MIA,-0.1 (68),-0.7 (82),0.6 (77),-0.1,68,-0.7,82,0.6,77,1628389.0,Bam Adebayo,MIA,27.0,78.0,2673.693333333333,540.0,1113.0,0.485,79.0,221.0,0.357,251.0,328.0,0.765,749.0,337.0,98.0,53.0,161.0,1410.0,27.0,0.232,0.561,0.521,110.9,110.8,0.1,0.204,0.141,0.137,95.12,34.3
Josh Okogie,HOU,-0.0 (70),-0.6 (80),0.6 (77),-0.0,70,-0.6,80,0.6,77,1629006.0,Josh Okogie,CHA,26.0,40.0,624.9783333333334,94.0,212.0,0.443,32.0,92.0,0.348,63.0,85.0,0.741,113.0,33.0,48.0,19.0,31.0,283.0,-13.0,0.185,0.567,0.519,108.8,109.3,-0.5,0.082,0.086,0.1,48.78,15.6
Lamar Stevens,MEM,-0.6 (46),-1.1 (90),0.5 (77),-0.6,46,-1.1,90,0.5,77,1630205.0,Lamar Stevens,MEM,27.0,17.0,155.535,29.0,63.0,0.46,8.0,27.0,0.296,8.0,11.0,0.727,38.0,8.0,5.0,3.0,10.0,74.0,67.0,0.21,0.545,0.524,128.2,101.8,26.4,0.063,0.114,0.09,20.73,9.1
Quenton Jackson,IND,-0.6 (45),-1.1 (89),0.5 (77),-0.6,45,-1.1,89,0.5,77,1631245.0,Quenton Jackson,IND,26.0,28.0,381.03833333333336,58.0,122.0,0.475,15.0,40.0,0.375,31.0,40.0,0.775,44.0,53.0,21.0,5.0,16.0,162.0,-1.0,0.167,0.58,0.537,110.9,110.1,0.8,0.193,0.057,0.089,34.15,13.6
Caris LeVert,DET,-0.1 (68),-0.6 (81),0.5 (77),-0.1,68,-0.6,81,0.5,77,1627747.0,Caris LeVert,ATL,30.0,64.0,1596.1066666666666,280.0,599.0,0.467,106.0,284.0,0.373,110.0,155.0,0.71,203.0,215.0,57.0,33.0,76.0,776.0,258.0,0.191,0.582,0.556,120.5,113.4,7.2,0.178,0.062,0.094,78.05,24.9
Jrue Holiday,POR,-0.8 (40),-1.3 (94),0.5 (77),-0.8,40,-1.3,94,0.5,77,201950.0,Jrue Holiday,BOS,35.0,62.0,1896.0683333333334,254.0,573.0,0.443,108.0,306.0,0.353,70.0,77.0,0.909,265.0,239.0,66.0,27.0,77.0,686.0,339.0,0.156,0.565,0.538,116.6,107.7,8.9,0.174,0.065,0.088,75.61,30.6
Kevin Huerter,CHI,0.4 (79),-0.1 (61),0.5 (76),0.4,79,-0.1,61,0.5,76,1628989.0,Kevin Huerter,CHI,26.0,69.0,1678.9933333333333,257.0,604.0,0.425,132.0,391.0,0.338,35.0,49.0,0.714,205.0,156.0,66.0,23.0,67.0,681.0,104.0,0.171,0.544,0.535,114.5,111.7,2.8,0.124,0.058,0.073,84.15,24.3
Nikola Jović,MIA,-0.4 (54),-0.9 (86),0.5 (76),-0.4,54,-0.9,86,0.5,76,1631107.0,Nikola Jović,MIA,22.0,46.0,1155.6766666666667,172.0,377.0,0.456,78.0,210.0,0.371,72.0,87.0,0.828,180.0,131.0,38.0,13.0,60.0,494.0,-20.0,0.178,0.595,0.56,109.6,110.7,-1.1,0.174,0.076,0.098,56.1,25.1
Jared Rhoden,TOR,0.7 (85),0.2 (44),0.5 (76),0.7,85,0.2,44,0.5,76,1631197.0,Jared Rhoden,TOR,25.0,14.0,226.16333333333333,42.0,87.0,0.483,12.0,39.0,0.308,22.0,25.0,0.88,42.0,16.0,10.0,2.0,9.0,118.0,64.0,0.183,0.602,0.552,118.1,103.4,14.7,0.098,0.082,0.106,17.07,16.2
Walker Kessler,UTA,-0.2 (64),-0.7 (81),0.5 (76),-0.2,64,-0.7,81,0.5,76,1631117.0,Walker Kessler,UTA,23.0,58.0,1740.32,278.0,419.0,0.663,6.0,34.0,0.176,79.0,152.0,0.52,707.0,97.0,36.0,138.0,86.0,641.0,-329.0,0.133,0.66,0.671,109.2,118.3,-9.1,0.083,0.19,0.127,70.73,30.0
Wendell Carter Jr.,ORL,-0.7 (43),-1.1 (90),0.4 (76),-0.7,43,-1.1,90,0.4,76,1628976.0,Wendell Carter Jr.,ORL,26.0,68.0,1758.2683333333334,226.0,491.0,0.46,37.0,158.0,0.234,129.0,175.0,0.737,492.0,134.0,52.0,41.0,77.0,618.0,-13.0,0.159,0.544,0.498,107.8,107.8,0.0,0.117,0.14,0.099,82.93,25.9
Mikal Bridges,NYK,-0.5 (52),-0.9 (87),0.4 (76),-0.5,52,-0.9,87,0.4,76,1628969.0,Mikal Bridges,NYK,28.0,82.0,3036.076666666667,592.0,1183.0,0.5,164.0,463.0,0.354,96.0,118.0,0.814,259.0,306.0,75.0,43.0,132.0,1444.0,334.0,0.192,0.585,0.57,118.4,112.9,5.6,0.141,0.043,0.09,100.0,37.0
Marvin Bagley III,WAS,0.2 (75),-0.2 (66),0.4 (76),0.2,75,-0.2,66,0.4,76,1628963.0,Marvin Bagley III,MEM,26.0,31.0,265.2266666666667,55.0,106.0,0.519,3.0,19.0,0.158,23.0,35.0,0.657,84.0,11.0,9.0,8.0,12.0,136.0,-10.0,0.2,0.56,0.533,108.2,108.8,-0.6,0.063,0.143,0.123,37.8,8.6
Nickeil Alexander-Walker,ATL,0.2 (74),-0.2 (65),0.4 (75),0.2,74,-0.2,65,0.4,75,1629638.0,Nickeil Alexander-Walker,MIN,26.0,82.0,2073.1016666666665,270.0,616.0,0.438,141.0,370.0,0.381,92.0,118.0,0.78,265.0,223.0,50.0,34.0,99.0,773.0,270.0,0.155,0.579,0.553,115.1,108.5,6.6,0.149,0.062,0.081,100.0,25.3
De'Andre Hunter,CLE,1.3 (91),0.9 (13),0.4 (75),1.3,91,0.9,13,0.4,75,1629631.0,De'Andre Hunter,CLE,27.0,64.0,1740.015,358.0,762.0,0.47,157.0,388.0,0.405,215.0,254.0,0.846,258.0,92.0,50.0,13.0,82.0,1088.0,88.0,0.221,0.623,0.573,115.9,113.9,2.0,0.077,0.071,0.101,78.05,27.2
