Player,Team,RAPM_offense,RAPM_defense,USG_percent,PLUS_MINUS_value,Attendance,Performance
Jalen Johnson,ATL,-1.1,-1.1,0.214,55.0,43.9,33.5
Dominick Barlow,PHI,0.0,0.0,0.141,-2.0,42.68,7.771428571428571
Jakob Poeltl,TOR,-0.4,-0.4,0.184,-37.0,69.51,27.280701754385966
Gabe Vincent,LAL,-0.3,-0.3,0.131,48.0,87.8,9.347222222222221
Jarred Vanderbilt,LAL,-0.4,-0.4,0.116,35.0,43.9,10.722222222222221
Pete Nance,MIL,-0.6,-0.6,0.116,-14.0,15.85,5.3076923076923075
Guerschon Yabusele,NYK,0.9,0.9,0.163,-118.0,85.37,18.65714285714286
Tyler Kolek,NYK,-0.9,-0.9,0.152,-1.0,50.0,4.2926829268292686
Reed Sheppard,HOU,0.2,0.2,0.171,-50.0,63.41,7.634615384615385
Cui Yongxi,BKN,0.0,-0.0,,,,
Tolu Smith,DET,-0.4,-0.4,0.2,7.0,1.22,20.0
Christian Koloko,ATL,-1.2,-1.1,0.104,-7.0,45.12,5.675675675675675
Luguentz Dort,OKC,-0.3,-0.2,0.133,547.0,86.59,16.816901408450704
Cody Zeller,ATL,-0.3,-0.2,,,,
Domantas Sabonis,SAC,0.2,0.3,0.213,144.0,85.37,37.2
Keegan Murray,SAC,-1.0,-0.9,0.148,46.0,92.68,21.42105263157895
Moritz Wagner,ORL,0.2,0.3,0.254,-17.0,36.59,18.766666666666666
Markelle Fultz,SAC,-0.5,-0.4,0.196,5.0,25.61,5.0
Mason Plumlee,CHA,0.6,0.7,0.105,54.0,90.24,12.743243243243244
Drew Peterson,CHA,-0.3,-0.2,0.121,46.0,30.49,4.24
Jaylen Clark,MIN,-0.9,-0.8,0.115,44.0,48.78,6.8
Daeqwon Plowden,ATL,-0.5,-0.4,0.181,29.0,7.32,8.666666666666666
Donte DiVincenzo,MIN,0.1,0.2,0.188,174.0,75.61,18.822580645161292
