PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,STL,BLK,TOV,PTS,PLUS_MINUS,USG_PCT,TS_PCT,EFG_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,REB_PCT,PIE,ATTENDANCE_RATE,MPG
1630175,Cole Anthony,MEM,25.0,67,1234.1133333333332,230,543,0.424,77,218,0.353,93,113,0.823,204,191,45,32,103,630,-16,0.238,0.531,0.494,107.7,109.0,-1.2,0.253,0.08,0.105,81.71,18.4
1631306,Cole Swider,IND,26.0,10,169.5,22,63,0.349,15,47,0.319,0,1,0.0,27,3,4,2,4,59,54,0.155,0.465,0.468,114.2,100.5,13.7,0.022,0.072,0.046,12.2,17.0
1630658,Colin Castleton,TOR,25.0,26,431.99,46,98,0.469,2,16,0.125,29,38,0.763,122,28,8,10,23,123,-30,0.125,0.536,0.48,106.1,108.2,-2.1,0.092,0.123,0.074,31.71,16.6
1631221,Collin Gillespie,PHX,26.0,33,461.2183333333333,68,158,0.43,39,90,0.433,19,22,0.864,78,78,21,5,17,194,-29,0.17,0.578,0.554,115.6,118.4,-2.8,0.235,0.086,0.105,40.24,14.0
1629012,Collin Sexton,UTA,26.0,63,1757.76,416,867,0.48,110,271,0.406,217,251,0.865,171,264,47,6,160,1159,-286,0.264,0.593,0.543,110.4,117.9,-7.5,0.246,0.047,0.106,76.83,27.9
1630557,Corey Kispert,WAS,26.0,61,1601.5233333333333,255,565,0.451,120,330,0.364,75,88,0.852,181,103,26,14,64,705,-274,0.169,0.584,0.558,108.7,117.1,-8.5,0.094,0.053,0.074,74.39,26.3
202709,Cory Joseph,ORL,33.0,50,611.7333333333333,62,154,0.403,39,107,0.364,14,18,0.778,74,72,26,4,18,177,35,0.126,0.547,0.529,110.5,106.9,3.6,0.166,0.06,0.075,60.98,12.2
1641854,Craig Porter Jr.,CLE,25.0,51,513.265,72,140,0.514,21,48,0.438,23,32,0.719,67,71,17,15,38,188,-45,0.155,0.61,0.589,108.3,113.5,-5.2,0.191,0.063,0.091,62.2,10.1
1642385,Cui Cui,BKN,22.0,5,10.318333333333333,1,7,0.143,0,3,0.0,1,2,0.5,2,0,0,0,0,3,2,0.296,0.19,0.143,80.8,76.0,4.8,0.0,0.095,-0.056,6.1,2.1
1626156,D'Angelo Russell,BKN,29.0,58,1480.4183333333333,249,638,0.39,113,360,0.314,121,145,0.834,162,297,56,23,108,732,0,0.228,0.522,0.479,110.1,111.6,-1.5,0.302,0.053,0.098,70.73,25.5
1630618,D.J. Carton,TOR,24.0,4,33.38666666666666,1,7,0.143,0,3,0.0,1,1,1.0,4,3,2,0,4,3,12,0.122,0.202,0.143,109.0,96.1,12.9,0.1,0.055,0.007,4.88,8.3
1629610,DaQuan Jeffries,CHA,27.0,47,1071.5066666666667,118,291,0.405,55,164,0.335,24,30,0.8,135,53,26,25,35,315,-276,0.136,0.518,0.5,106.6,118.2,-11.6,0.073,0.06,0.046,57.32,22.8
1631342,Daeqwon Plowden,ATL,26.0,6,71.55,16,25,0.64,9,17,0.529,2,2,1.0,11,2,0,0,4,43,29,0.181,0.831,0.82,104.0,84.2,19.8,0.047,0.076,0.122,7.32,11.9
1630227,Daishen Nix,MIN,23.0,3,13.233333333333333,0,1,0.0,0,1,0.0,1,2,0.5,4,3,0,0,4,1,9,0.176,0.266,0.0,103.2,79.3,23.9,0.231,0.211,0.024,3.66,4.4
