Player,Team,Offense,Defense,Total,Offense_value,Offense_percentile,Defense(*)_value,Defense(*)_percentile,Total_value,Total_percentile
Nicolas Batum,LAC,-0.3 (61),-0.5 (78),0.2 (72),-0.3,61,-0.5,78,0.2,72
David Duke Jr.,SAS,0.2 (73),0.0 (54),0.2 (72),0.2,73,0.0,54,0.2,72
Alex Reese,PHI,0.4 (78),0.2 (41),0.2 (71),0.4,78,0.2,41,0.2,71
Isaiah Crawford,HOU,0.1 (71),-0.1 (59),0.2 (71),0.1,71,-0.1,59,0.2,71
Devin Carter,SAC,-0.3 (58),-0.5 (76),0.2 (71),-0.3,58,-0.5,76,0.2,71
Myron Gardner,MIA,-0.3 (57),-0.5 (76),0.2 (71),-0.3,57,-0.5,76,0.2,71
Dylan Cardwell,SAC,-0.3 (57),-0.5 (75),0.2 (71),-0.3,57,-0.5,75,0.2,71
N'Faly Dante,ATL,0.3 (76),0.1 (46),0.2 (71),0.3,76,0.1,46,0.2,71
Kevon Looney,NOP,-0.4 (56),-0.6 (80),0.2 (71),-0.4,56,-0.6,80,0.2,71
Michael Porter Jr.,BKN,1.4 (91),1.2 (9),0.2 (70),1.4,91,1.2,9,0.2,70
Jonathan Isaac,ORL,-1.7 (14),-1.9 (97),0.2 (70),-1.7,14,-1.9,97,0.2,70
Jared McCain,PHI,-0.4 (54),-0.6 (78),0.2 (70),-0.4,54,-0.6,78,0.2,70
Cam Christie,LAC,-1.0 (32),-1.2 (91),0.2 (70),-1.0,32,-1.2,91,0.2,70
Bones Hyland,MIN,-0.7 (44),-0.8 (84),0.1 (70),-0.7,44,-0.8,84,0.1,70
Trae Young,ATL,2.2 (96),2.1 (1),0.1 (70),2.2,96,2.1,1,0.1,70
Kevin Knox II,GSW,0.4 (79),0.3 (38),0.1 (69),0.4,79,0.3,38,0.1,69
Terry Taylor,SAC,-0.3 (59),-0.4 (73),0.1 (69),-0.3,59,-0.4,73,0.1,69
Malcolm Brogdon,WAS,0.1 (72),-0.0 (56),0.1 (69),0.1,72,-0.0,56,0.1,69
Tre Jones,CHI,0.1 (71),0.0 (55),0.1 (69),0.1,71,0.0,55,0.1,69
Cole Swider,TOR,-0.1 (67),-0.2 (64),0.1 (69),-0.1,67,-0.2,64,0.1,69
Josh Minott,BOS,-0.0 (70),-0.1 (60),0.1 (69),-0.0,70,-0.1,60,0.1,69
Jazian Gortman,DAL,0.0 (69),-0.1 (59),0.1 (69),0.0,69,-0.1,59,0.1,69
Asa Newell,ATL,0.1 (71),-0.0 (52),0.1 (68),0.1,71,-0.0,52,0.1,68
Isaiah Stewart,DET,-0.5 (52),-0.6 (80),0.1 (68),-0.5,52,-0.6,80,0.1,68
Joe Ingles,MIN,0.5 (80),0.4 (33),0.1 (68),0.5,80,0.4,33,0.1,68
Leonard Miller,MIN,-0.2 (64),-0.3 (69),0.1 (68),-0.2,64,-0.3,69,0.1,68
Oscar Tshiebwe,UTA,0.3 (77),0.2 (42),0.1 (68),0.3,77,0.2,42,0.1,68
