Rank,Player,Team,AGE,RAPM_offense,RAPM_defense,USG_percent,PLUS_MINUS_value,Attendance,Performance,Athletic_Score,Salary
201,Peyton Watson,DEN,22,-0.4,0.2,0.138,-26,82.93,14.16176471,0.47673118,4356476
202,Ricky Council IV,PHI,23,-0.2,1,0.196,-159,89.02,11.45205479,0.476198729,1862250
203,Kyle Kuzma,MIL,29,-2.7,1.2,0.233,-419,79.27,21.46153846,0.476045023,22077272
204,Nic Claxton,BKN,26,-3,0.7,0.166,-497,85.37,21.01428571,0.475018979,25000000
205,Jonathan Isaac,ORL,27,-1.7,-1.9,0.155,-38,86.59,11.85915493,0.473690659,15000000
206,Simone Fontecchio,MIA,29,-1,-0.3,0.152,16,91.46,9.533333333,0.471454216,8307692
207,Brice Sensabaugh,UTA,21,-0.5,2.6,0.208,-285,86.59,14.63380282,0.470515809,2693760
208,Alex Caruso,OKC,31,-0.3,-3.1,0.147,321,65.85,14.03703704,0.4703902,18102000
209,Tristan da Silva,ORL,24,-1.3,0.2,0.149,-127,90.24,11.97297297,0.468889164,3809520
210,Steven Adams,HOU,31,1.7,-2.3,0.127,172,70.73,10.5862069,0.46848981,14130435
211,Trey Lyles,SAC,29,-0.5,0,0.139,-70,84.15,12.66666667,0.46800139,7096231
212,Bogdan Bogdanović,LAC,32,0.3,-0.6,0.183,106,65.85,16.03703704,0.467941413,16020000
213,Dalano Banton,POR,25,-0.9,0.9,0.237,-55,81.71,12.6119403,0.467093239,7096231
214,Gabe Vincent,LAL,29,-0.3,-0.3,0.131,48,87.8,9.347222222,0.465679746,11500000
215,Bradley Beal,LAC,32,-1.8,1.5,0.219,-273,64.63,23.79245283,0.462099828,5354000
216,Ochai Agbaji,TOR,25,-1.3,-0.6,0.144,-214,78.05,16.265625,0.462032151,6383525
217,Dean Wade,CLE,28,0.5,-1.7,0.101,284,71.95,11.61016949,0.461115963,6623456
218,Brandon Miller,CHA,22,0.7,-0.3,0.27,-124,32.93,28.51851852,0.460826798,11968800
219,Cam Thomas,BKN,23,1.3,2.1,0.328,-92,30.49,29.24,0.460260324,7096231
220,Clint Capela,HOU,31,-1.5,-1,0.16,-79,67.07,19.25454545,0.460205913,6700000
221,Justin Champagnie,WAS,24,0.7,1.6,0.15,-288,75.61,16.20967742,0.459844375,2349578
222,Kyshawn George,WAS,21,-1.1,0.7,0.156,-361,82.93,15.66176471,0.459596104,2966760
223,Immanuel Quickley,TOR,26,0.4,-0.4,0.246,-39,40.24,25.48484848,0.4591579,32500000
224,Jalen Suggs,ORL,24,-0.5,-2,0.268,3,42.68,23.4,0.459057433,35000000
225,Jeremy Sochan,SAS,22,-1.2,0.5,0.184,-88,65.85,20.09259259,0.458721026,7096231
226,Dejounte Murray,NOP,28,-0.3,1.3,0.263,-207,37.8,30.29032258,0.457647043,26783568
227,Amir Coffey,MIL,28,-2.4,0.3,0.15,-66,87.8,13,0.457520274,2874436
228,Gradey Dick,TOR,21,-0.3,1.3,0.209,-210,65.85,19.31481481,0.456479864,4990560
229,Terry Rozier,MIA,31,-2.1,0.8,0.195,-141,78.05,16.515625,0.456478523,26643031
230,Terance Mann,BKN,28,0.1,1.6,0.145,-95,81.71,12.71641791,0.456108814,15500000
231,Chris Boucher,BOS,32,1.2,0.1,0.208,5,60.98,15.58,0.454947748,3287409
232,Jose Alvarado,NOP,27,-0.7,-0.4,0.193,-232,68.29,17.42857143,0.454363644,4500000
233,Neemias Queta,BOS,25,0.4,-1.2,0.136,155,75.61,9.85483871,0.454322608,2349578
234,Bilal Coulibaly,WAS,20,-1.1,0.6,0.175,-587,71.95,20.57627119,0.452305805,7275600
235,Sandro Mamukelashvili,TOR,26,0.3,-0.8,0.202,-28,74.39,10.37704918,0.452039739,2461463
236,Isaiah Collier,UTA,20,-2.1,2.8,0.186,-403,86.59,16.47887324,0.451271551,2638200
237,Day'Ron Sharpe,BKN,23,-0.6,-1.4,0.186,64,60.98,16.76,0.451037865,6250000
238,Jusuf Nurkić,UTA,30,-1,-1.3,0.202,-184,62.2,18.49019608,0.450451882,19375000
239,Zach Collins,CHI,27,-1.1,-0.2,0.166,-29,78.05,12.5625,0.449734426,18080496
240,Aaron Nesmith,IND,25,0.8,0.2,0.171,198,54.88,17.51111111,0.447812729,11000000
241,Dereck Lively II,DAL,21,2.3,-1.3,0.132,121,43.9,19.55555556,0.447409999,5253360
242,Trayce Jackson-Davis,GSW,25,-0.7,0.5,0.164,-61,75.61,13.51612903,0.446597935,2221677
243,Brandon Ingram,TOR,27,0.5,-0.4,0.305,-128,21.95,30.61111111,0.446318596,38095238
244,Thomas Bryant,CLE,27,-1,0.5,0.162,-37,80.49,11.6969697,0.445942878,3287409
245,Max Strus,CLE,29,-0.4,-0.3,0.143,221,60.98,16.6,0.444862144,15936452
246,Corey Kispert,ATL,26,-0.5,1.4,0.169,-274,74.39,15.81967213,0.443998042,7549713
247,Jared Butler,PHI,24,-1.1,0.7,0.222,-131,73.17,14.1,0.4434629,4221360
248,Gary Payton II,GSW,32,-0.4,0,0.156,45,75.61,11.25806452,0.442659567,3303774
249,Jaylin Williams,OKC,23,0.2,-1.9,0.141,302,57.32,14.38297872,0.44182012,8450704
250,Deandre Ayton,LAL,26,-1.3,1.1,0.197,-162,48.78,26.175,0.441665669,8104000
251,Ziaire Williams,BKN,23,-1.9,0.8,0.179,-330,76.83,16.28571429,0.440368905,6250000
252,Julian Strawther,DEN,23,-1.7,0.7,0.173,-71,79.27,12.47692308,0.43749401,2674200
253,Patrick Williams,CHI,23,-2.3,0.2,0.165,-182,76.83,14.61904762,0.433705314,18000000
254,Jarace Walker,IND,21,-3.5,0.8,0.165,-146,91.46,10.68,0.433175099,6665520
255,Nikola Jović,MIA,22,-0.4,-0.9,0.178,-20,56.1,17.30434783,0.432601057,4445417
256,Josh Green,CHA,24,-0.7,0.4,0.115,-364,82.93,11.83823529,0.432414521,13666667
257,Nick Richards,PHX,27,-1.2,2.2,0.169,-235,69.51,18.10526316,0.432362079,5000000
258,Javonte Green,DET,31,-1.4,-1.2,0.113,-212,82.93,10.07352941,0.431241392,2874436
259,Jerami Grant,POR,31,-1.1,0.7,0.192,-202,57.32,20.4893617,0.430367212,32000001
260,Dalen Terry,CHI,22,-1.7,-0.3,0.142,-172,89.02,7.575342466,0.42929563,5399118
261,Oso Ighodaro,PHX,22,-0.1,-1.8,0.103,-21,74.39,9.278688525,0.42908017,1955377
262,Isaac Okoro,CHI,24,0.7,0,0.124,253,67.07,10.18181818,0.428376699,11000000
263,Talen Horton-Tucker,CHI,24,0.3,0.6,0.208,19,70.73,9.551724138,0.428162327,3586956.5
264,Johnny Juzang,MIN,24,-1.2,0.8,0.174,-357,78.05,13.03125,0.427714111,3586956.5
265,Kris Murray,POR,24,-1.7,-0.9,0.133,-50,84.15,7.913043478,0.426317789,3132000
266,Jabari Walker,PHI,22,0.1,0.1,0.156,15,73.17,9.433333333,0.426303087,3586956.5
267,Seth Curry,GSW,34,-1.5,-0.1,0.151,-171,82.93,9.102941176,0.424084684,2777830
