Player,Team,RAPM_offense_normalized,USG_percent_normalized,PLUS_MINUS_value_normalized,Attendance_normalized,Performance_normalized,RAPM_defense_normalized
Will Richard,GSW,0.2857142857142857,,,,,0.611111111111111
Moussa Cisse,DAL,0.3406593406593406,,,,,0.5416666666666667
DeMar DeRozan,SAC,0.4945054945054945,0.5362637362637362,0.46312292358803986,0.9382466086252278,0.5872310511912832,0.33333333333333337
Kris Murray,POR,0.2417582417582418,0.2923076923076923,0.3568106312292359,0.8395424174934197,0.15297239532677737,0.6527777777777779
Scoot Henderson,POR,0.4945054945054945,0.4835164835164835,0.3647840531561462,0.8024903826685563,0.37315993405471454,0.33333333333333337
Kevin Porter Jr.,MIL,0.27472527472527475,0.545054945054945,0.4079734219269103,0.9135452520753188,0.32554542943938136,0.611111111111111
Andrew Nembhard,IND,0.32967032967032966,0.35824175824175825,0.5255813953488372,0.7901397043936019,0.34886240520043343,0.5416666666666667
Cam Thomas,BKN,0.5714285714285715,0.7208791208791209,0.3289036544850498,0.2963150435310792,0.5652582159624413,0.2361111111111111
JT Thor,WAS,0.31868131868131866,0.29010989010989013,0.32624584717607974,0.23456165215630695,0.12855564761115715,0.5555555555555556
Eric Gordon,PHI,0.37362637362637363,0.3076923076923077,0.34219269102990035,0.4691233043126139,0.19182971129947105,0.48611111111111116
Jamaree Bouyea,PHX,0.3076923076923077,0.35824175824175825,0.39136212624584715,0.04940271309981777,0.115990057995029,0.5694444444444444
Gary Harris,MIL,0.32967032967032966,0.1978021978021978,0.44717607973421925,0.5802794087872039,0.10471324680106785,0.5416666666666667
Daniel Theis,NOP,0.38461538461538464,0.24395604395604395,0.3495016611295681,0.4567726260376595,0.20298260149130076,0.47222222222222227
Braxton Key,GSW,0.3406593406593406,0.4879120879120879,0.3847176079734219,0.024701356549908893,0.03866335266500966,0.5277777777777778
Jordan Miller,LAC,0.3626373626373626,0.3846153846153846,0.3481727574750831,0.444421947762705,0.12539465729192326,0.5
Lester Quinones,NOP,0.3626373626373626,0.4681318681318681,0.37275747508305646,0.1481069042316258,0.17844624306927537,0.5
